BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Size_per_BHK,Bathroom_per_BHK,Total_rooms
2,8500,600,Super Area,Bangalore,Unfurnished,2,300.0,1.0,4
1,9000,400,Carpet Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,10500,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,12000,900,Super Area,Bangalore,Unfurnished,2,450.0,1.0,4
3,21000,1000,Carpet Area,Bangalore,Furnished,3,333.3333333333333,1.0,6
2,12000,900,Carpet Area,Bangalore,Unfurnished,2,450.0,1.0,4
1,7000,800,Carpet Area,Bangalore,Unfurnished,1,800.0,1.0,2
2,15000,750,Super Area,Bangalore,Unfurnished,2,375.0,1.0,4
2,11400,1100,Carpet Area,Bangalore,Unfurnished,2,550.0,1.0,4
2,15000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,19000,1000,Carpet Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
2,27000,1000,Carpet Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
3,48000,2000,Carpet Area,Bangalore,Semi-Furnished,3,666.6666666666666,1.0,6
1,7000,550,Super Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
2,15000,1130,Super Area,Bangalore,Unfurnished,2,565.0,1.0,4
2,10000,600,Super Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
1,7000,100,Carpet Area,Bangalore,Semi-Furnished,1,100.0,1.0,2
1,8000,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,35000,1200,Carpet Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,16000,850,Super Area,Bangalore,Semi-Furnished,2,425.0,1.0,4
1,4500,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
1,8000,400,Carpet Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,6000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,13000,1000,Carpet Area,Bangalore,Unfurnished,2,500.0,1.0,4
2,10000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
3,55000,1603,Carpet Area,Bangalore,Semi-Furnished,3,534.3333333333334,1.0,6
3,15000,1200,Super Area,Bangalore,Semi-Furnished,3,400.0,1.0,6
1,12000,420,Carpet Area,Bangalore,Semi-Furnished,1,420.0,1.0,2
2,9000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
3,36000,1771,Super Area,Bangalore,Semi-Furnished,3,590.3333333333334,1.0,6
3,37000,1200,Super Area,Bangalore,Semi-Furnished,3,400.0,1.0,6
1,17000,610,Super Area,Bangalore,Semi-Furnished,1,610.0,1.0,2
1,8000,800,Super Area,Bangalore,Unfurnished,1,800.0,1.0,2
1,7500,550,Super Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
2,13500,700,Carpet Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
1,9000,600,Carpet Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,7000,360,Super Area,Bangalore,Unfurnished,1,360.0,1.0,2
2,12000,800,Super Area,Bangalore,Unfurnished,2,400.0,1.0,4
2,12000,1200,Super Area,Bangalore,Unfurnished,2,600.0,1.0,4
1,8500,480,Super Area,Bangalore,Furnished,1,480.0,1.0,2
2,18000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,11000,800,Super Area,Bangalore,Semi-Furnished,1,800.0,1.0,2
3,17000,1450,Super Area,Bangalore,Semi-Furnished,3,483.3333333333333,1.0,6
1,6500,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
2,11500,700,Super Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
2,22000,1000,Carpet Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,13000,450,Carpet Area,Bangalore,Furnished,1,450.0,1.0,2
2,10000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,15000,1000,Super Area,Bangalore,Unfurnished,2,500.0,1.0,4
1,8000,150,Super Area,Bangalore,Unfurnished,1,150.0,1.0,2
2,12000,865,Super Area,Bangalore,Semi-Furnished,2,432.5,1.0,4
1,20000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,8000,200,Super Area,Bangalore,Semi-Furnished,1,200.0,1.0,2
2,10000,800,Super Area,Bangalore,Semi-Furnished,2,400.0,1.0,4
2,15000,1100,Carpet Area,Bangalore,Unfurnished,2,550.0,1.0,4
2,12000,950,Super Area,Bangalore,Semi-Furnished,2,475.0,1.0,4
2,12000,905,Super Area,Bangalore,Semi-Furnished,2,452.5,1.0,4
2,17500,1080,Super Area,Bangalore,Furnished,2,540.0,1.0,4
1,8000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,8500,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,7500,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,22000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,6000,300,Super Area,Bangalore,Unfurnished,1,300.0,1.0,2
2,10000,800,Super Area,Bangalore,Unfurnished,2,400.0,1.0,4
1,6900,50,Carpet Area,Bangalore,Semi-Furnished,1,50.0,1.0,2
1,14500,550,Super Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
1,6500,700,Super Area,Bangalore,Semi-Furnished,1,700.0,1.0,2
2,13000,600,Super Area,Bangalore,Unfurnished,2,300.0,1.0,4
1,14000,750,Carpet Area,Bangalore,Semi-Furnished,1,750.0,1.0,2
2,14500,990,Super Area,Bangalore,Unfurnished,2,495.0,1.0,4
2,15000,1300,Super Area,Bangalore,Furnished,2,650.0,1.0,4
1,11500,550,Carpet Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
2,12000,600,Carpet Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
2,18000,1200,Carpet Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,15000,1050,Super Area,Bangalore,Semi-Furnished,2,525.0,1.0,4
2,12000,840,Super Area,Bangalore,Semi-Furnished,2,420.0,1.0,4
2,25000,1050,Super Area,Bangalore,Semi-Furnished,2,525.0,1.0,4
1,10000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
2,40000,1300,Carpet Area,Bangalore,Semi-Furnished,2,650.0,1.0,4
2,23000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,25000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,7000,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,17500,1250,Carpet Area,Bangalore,Unfurnished,2,625.0,1.0,4
1,10000,415,Carpet Area,Bangalore,Semi-Furnished,1,415.0,1.0,2
3,39000,1200,Super Area,Bangalore,Furnished,3,400.0,1.0,6
2,18000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
2,23000,1300,Super Area,Bangalore,Furnished,2,650.0,1.0,4
2,20000,1150,Carpet Area,Bangalore,Unfurnished,2,575.0,1.0,4
1,10000,450,Carpet Area,Bangalore,Semi-Furnished,1,450.0,1.0,2
1,15000,600,Carpet Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,17000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
3,56000,1900,Carpet Area,Bangalore,Unfurnished,3,633.3333333333334,1.0,6
3,43000,1700,Carpet Area,Bangalore,Semi-Furnished,3,566.6666666666666,1.0,6
2,25000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,9000,500,Carpet Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
3,31000,1757,Super Area,Bangalore,Semi-Furnished,3,585.6666666666666,1.0,6
1,6000,300,Super Area,Bangalore,Semi-Furnished,1,300.0,1.0,2
1,5000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
2,16000,1200,Super Area,Bangalore,Unfurnished,2,600.0,1.0,4
1,20000,800,Carpet Area,Bangalore,Semi-Furnished,1,800.0,1.0,2
3,28000,1281,Super Area,Bangalore,Semi-Furnished,3,427.0,1.0,6
2,18000,1450,Carpet Area,Bangalore,Semi-Furnished,2,725.0,1.0,4
1,12000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,20000,980,Super Area,Bangalore,Furnished,2,490.0,1.0,4
3,25000,1500,Super Area,Bangalore,Semi-Furnished,3,500.0,1.0,6
3,35000,1800,Super Area,Bangalore,Semi-Furnished,3,600.0,1.0,6
1,7000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,7500,600,Carpet Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,14000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,20000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,21000,1100,Carpet Area,Bangalore,Unfurnished,2,550.0,1.0,4
2,15000,700,Super Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
1,5500,600,Carpet Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,10000,700,Super Area,Bangalore,Unfurnished,2,350.0,1.0,4
1,7000,250,Super Area,Bangalore,Semi-Furnished,1,250.0,1.0,2
3,22000,1450,Super Area,Bangalore,Semi-Furnished,3,483.3333333333333,1.0,6
2,19000,1221,Carpet Area,Bangalore,Unfurnished,2,610.5,1.0,4
2,15000,1250,Super Area,Bangalore,Semi-Furnished,2,625.0,1.0,4
2,12000,700,Carpet Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
1,7000,200,Super Area,Bangalore,Semi-Furnished,1,200.0,1.0,2
2,15000,1200,Carpet Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,23000,600,Super Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
1,6500,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
3,29000,1800,Carpet Area,Bangalore,Semi-Furnished,3,600.0,1.0,6
2,12000,900,Carpet Area,Bangalore,Unfurnished,2,450.0,1.0,4
2,10000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
2,12500,500,Carpet Area,Bangalore,Semi-Furnished,2,250.0,1.0,4
3,32000,1800,Super Area,Bangalore,Semi-Furnished,3,600.0,1.0,6
1,8000,416,Super Area,Bangalore,Unfurnished,1,416.0,1.0,2
1,6000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
3,45000,1600,Carpet Area,Bangalore,Semi-Furnished,3,533.3333333333334,1.0,6
1,6000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
1,5000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
3,14000,1800,Super Area,Bangalore,Semi-Furnished,3,600.0,1.0,6
2,20000,900,Carpet Area,Bangalore,Furnished,2,450.0,1.0,4
1,11000,550,Carpet Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
1,5500,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
3,55000,1800,Carpet Area,Bangalore,Unfurnished,3,600.0,1.0,6
1,8500,350,Super Area,Bangalore,Semi-Furnished,1,350.0,1.0,2
2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,7500,600,Carpet Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,16000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,20000,1150,Carpet Area,Bangalore,Furnished,2,575.0,1.0,4
2,14500,850,Super Area,Bangalore,Semi-Furnished,2,425.0,1.0,4
1,6000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,14000,900,Carpet Area,Bangalore,Semi-Furnished,2,450.0,1.0,4
1,7000,300,Super Area,Bangalore,Semi-Furnished,1,300.0,1.0,2
2,27500,1130,Super Area,Bangalore,Semi-Furnished,2,565.0,1.0,4
2,18000,1200,Super Area,Bangalore,Unfurnished,2,600.0,1.0,4
2,10000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
3,31000,1700,Super Area,Bangalore,Furnished,3,566.6666666666666,1.0,6
2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,11000,300,Super Area,Bangalore,Semi-Furnished,1,300.0,1.0,2
1,4500,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,10000,1200,Super Area,Bangalore,Unfurnished,2,600.0,1.0,4
1,9000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
2,16000,1050,Super Area,Bangalore,Semi-Furnished,2,525.0,1.0,4
1,5000,350,Carpet Area,Bangalore,Unfurnished,1,350.0,1.0,2
2,10000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,15000,600,Carpet Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,3500,150,Super Area,Bangalore,Unfurnished,1,150.0,1.0,2
2,16000,1400,Super Area,Bangalore,Furnished,2,700.0,1.0,4
2,12000,1020,Carpet Area,Bangalore,Unfurnished,2,510.0,1.0,4
1,9000,600,Carpet Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,6000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
1,20000,550,Carpet Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
2,20000,1050,Carpet Area,Bangalore,Semi-Furnished,2,525.0,1.0,4
2,15000,800,Super Area,Bangalore,Unfurnished,2,400.0,1.0,4
2,20000,1100,Super Area,Bangalore,Unfurnished,2,550.0,1.0,4
1,9000,800,Carpet Area,Bangalore,Semi-Furnished,1,800.0,1.0,2
2,16500,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
1,7000,450,Super Area,Bangalore,Unfurnished,1,450.0,1.0,2
2,8500,720,Super Area,Bangalore,Semi-Furnished,2,360.0,1.0,4
1,8000,700,Carpet Area,Bangalore,Semi-Furnished,1,700.0,1.0,2
2,20000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
3,30000,1645,Carpet Area,Bangalore,Semi-Furnished,3,548.3333333333334,1.0,6
1,7000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
2,10000,600,Super Area,Bangalore,Furnished,2,300.0,1.0,4
1,5000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,6500,450,Super Area,Bangalore,Unfurnished,1,450.0,1.0,2
1,10000,650,Carpet Area,Bangalore,Semi-Furnished,1,650.0,1.0,2
1,18000,400,Carpet Area,Bangalore,Unfurnished,1,400.0,1.0,2
2,30000,1296,Carpet Area,Bangalore,Semi-Furnished,2,648.0,1.0,4
2,20000,1000,Carpet Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,16500,600,Carpet Area,Bangalore,Unfurnished,1,600.0,1.0,2
1,15000,600,Super Area,Bangalore,Furnished,1,600.0,1.0,2
1,22000,455,Carpet Area,Bangalore,Semi-Furnished,1,455.0,1.0,2
2,9750,575,Carpet Area,Bangalore,Semi-Furnished,2,287.5,1.0,4
2,23000,1066,Super Area,Bangalore,Unfurnished,2,533.0,1.0,4
3,60000,1550,Carpet Area,Bangalore,Semi-Furnished,3,516.6666666666666,1.0,6
2,11000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
1,11000,450,Carpet Area,Bangalore,Semi-Furnished,1,450.0,1.0,2
2,19000,1350,Carpet Area,Bangalore,Semi-Furnished,2,675.0,1.0,4
2,10000,1350,Super Area,Bangalore,Semi-Furnished,2,675.0,1.0,4
1,7500,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
3,55000,2150,Super Area,Bangalore,Semi-Furnished,3,716.6666666666666,1.0,6
2,11000,1080,Super Area,Bangalore,Semi-Furnished,2,540.0,1.0,4
3,50000,1450,Super Area,Bangalore,Semi-Furnished,3,483.3333333333333,1.0,6
2,13500,700,Super Area,Bangalore,Unfurnished,2,350.0,1.0,4
2,16500,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
1,7000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
1,7000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,18000,800,Super Area,Bangalore,Furnished,1,800.0,1.0,2
1,11000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,9000,450,Super Area,Bangalore,Unfurnished,1,450.0,1.0,2
3,60000,2080,Carpet Area,Bangalore,Semi-Furnished,3,693.3333333333334,1.0,6
2,16000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,30000,1025,Carpet Area,Bangalore,Semi-Furnished,2,512.5,1.0,4
2,17000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,8000,350,Super Area,Bangalore,Unfurnished,1,350.0,1.0,2
2,16500,1050,Super Area,Bangalore,Furnished,2,525.0,1.0,4
2,12000,800,Super Area,Bangalore,Semi-Furnished,2,400.0,1.0,4
2,17000,700,Super Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
3,35000,1600,Super Area,Bangalore,Semi-Furnished,3,533.3333333333334,1.0,6
2,13000,1180,Carpet Area,Bangalore,Semi-Furnished,2,590.0,1.0,4
2,12000,1400,Super Area,Bangalore,Semi-Furnished,2,700.0,1.0,4
1,10000,750,Super Area,Bangalore,Semi-Furnished,1,750.0,1.0,2
1,6000,350,Super Area,Bangalore,Unfurnished,1,350.0,1.0,2
2,8900,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
3,40000,1900,Carpet Area,Bangalore,Unfurnished,3,633.3333333333334,1.0,6
2,24000,1105,Carpet Area,Bangalore,Furnished,2,552.5,1.0,4
2,18500,1080,Carpet Area,Bangalore,Furnished,2,540.0,1.0,4
2,16000,1281,Super Area,Bangalore,Semi-Furnished,2,640.5,1.0,4
1,8000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,15000,850,Super Area,Bangalore,Semi-Furnished,2,425.0,1.0,4
2,27000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,17000,900,Super Area,Bangalore,Furnished,2,450.0,1.0,4
3,50000,1250,Carpet Area,Bangalore,Semi-Furnished,3,416.6666666666667,1.0,6
2,14000,800,Carpet Area,Bangalore,Unfurnished,2,400.0,1.0,4
1,5000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
2,8000,600,Super Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
2,15000,750,Super Area,Bangalore,Semi-Furnished,2,375.0,1.0,4
2,11000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,8500,440,Super Area,Bangalore,Furnished,2,220.0,1.0,4
3,22500,1600,Carpet Area,Bangalore,Semi-Furnished,3,533.3333333333334,1.0,6
2,15000,1200,Super Area,Bangalore,Furnished,2,600.0,1.0,4
2,11000,950,Carpet Area,Bangalore,Semi-Furnished,2,475.0,1.0,4
2,11000,800,Super Area,Bangalore,Unfurnished,2,400.0,1.0,4
1,7000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
1,5000,144,Super Area,Bangalore,Semi-Furnished,1,144.0,1.0,2
1,18000,600,Super Area,Bangalore,Furnished,1,600.0,1.0,2
2,10000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,15000,1180,Super Area,Bangalore,Semi-Furnished,2,590.0,1.0,4
2,11000,900,Super Area,Bangalore,Semi-Furnished,2,450.0,1.0,4
1,7500,500,Carpet Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
2,17000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
1,6000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,20000,1250,Super Area,Bangalore,Semi-Furnished,2,625.0,1.0,4
2,18000,600,Super Area,Bangalore,Unfurnished,2,300.0,1.0,4
2,38000,1274,Carpet Area,Bangalore,Semi-Furnished,2,637.0,1.0,4
2,36000,1200,Carpet Area,Bangalore,Furnished,2,600.0,1.0,4
1,7500,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,9000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
3,18000,1100,Carpet Area,Bangalore,Semi-Furnished,3,366.6666666666667,1.0,6
1,6500,700,Super Area,Bangalore,Unfurnished,1,700.0,1.0,2
2,18000,1200,Carpet Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,12000,900,Super Area,Bangalore,Semi-Furnished,2,450.0,1.0,4
2,25000,900,Super Area,Bangalore,Unfurnished,2,450.0,1.0,4
2,20000,1050,Super Area,Bangalore,Semi-Furnished,2,525.0,1.0,4
2,8000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
2,11000,600,Super Area,Bangalore,Unfurnished,2,300.0,1.0,4
1,6000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
1,11000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
2,20000,1100,Super Area,Bangalore,Unfurnished,2,550.0,1.0,4
1,5500,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
3,12000,1100,Super Area,Bangalore,Semi-Furnished,3,366.6666666666667,1.0,6
1,6000,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
1,7000,300,Carpet Area,Bangalore,Unfurnished,1,300.0,1.0,2
2,14000,1000,Super Area,Bangalore,Unfurnished,2,500.0,1.0,4
2,14000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
1,6000,650,Super Area,Bangalore,Semi-Furnished,1,650.0,1.0,2
1,12500,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
1,7000,400,Carpet Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,13000,1000,Super Area,Bangalore,Furnished,2,500.0,1.0,4
2,20000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,24000,1300,Super Area,Bangalore,Unfurnished,2,650.0,1.0,4
1,6000,600,Super Area,Bangalore,Unfurnished,1,600.0,1.0,2
2,15000,800,Super Area,Bangalore,Semi-Furnished,2,400.0,1.0,4
2,20000,1115,Super Area,Bangalore,Furnished,2,557.5,1.0,4
2,17000,1060,Carpet Area,Bangalore,Unfurnished,2,530.0,1.0,4
3,22000,1500,Super Area,Bangalore,Semi-Furnished,3,500.0,1.0,6
2,18000,1000,Carpet Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
2,10000,800,Super Area,Bangalore,Semi-Furnished,2,400.0,1.0,4
2,9000,1055,Carpet Area,Bangalore,Semi-Furnished,2,527.5,1.0,4
2,14000,950,Super Area,Bangalore,Unfurnished,2,475.0,1.0,4
1,7000,450,Carpet Area,Bangalore,Semi-Furnished,1,450.0,1.0,2
1,8000,400,Carpet Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
1,22000,400,Super Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,12000,600,Super Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
1,5000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
1,6000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
2,30000,1100,Super Area,Bangalore,Furnished,2,550.0,1.0,4
2,12000,650,Super Area,Bangalore,Semi-Furnished,2,325.0,1.0,4
2,15000,600,Super Area,Bangalore,Semi-Furnished,2,300.0,1.0,4
2,14000,800,Super Area,Bangalore,Furnished,2,400.0,1.0,4
1,22000,460,Carpet Area,Bangalore,Semi-Furnished,1,460.0,1.0,2
2,40000,1380,Carpet Area,Bangalore,Semi-Furnished,2,690.0,1.0,4
1,12000,500,Super Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
2,15000,825,Super Area,Bangalore,Unfurnished,2,412.5,1.0,4
2,9500,700,Super Area,Bangalore,Semi-Furnished,2,350.0,1.0,4
2,15000,1110,Carpet Area,Bangalore,Unfurnished,2,555.0,1.0,4
2,15000,800,Super Area,Bangalore,Semi-Furnished,2,400.0,1.0,4
1,7000,700,Super Area,Bangalore,Semi-Furnished,1,700.0,1.0,2
1,10000,300,Super Area,Bangalore,Unfurnished,1,300.0,1.0,2
3,26969,1400,Super Area,Bangalore,Semi-Furnished,3,466.6666666666667,1.0,6
1,8000,450,Carpet Area,Bangalore,Unfurnished,1,450.0,1.0,2
3,52000,1603,Carpet Area,Bangalore,Semi-Furnished,3,534.3333333333334,1.0,6
1,6500,200,Super Area,Bangalore,Semi-Furnished,1,200.0,1.0,2
3,22000,1500,Super Area,Bangalore,Furnished,3,500.0,1.0,6
1,10000,600,Super Area,Bangalore,Semi-Furnished,1,600.0,1.0,2
1,6000,150,Super Area,Bangalore,Furnished,1,150.0,1.0,2
2,13000,750,Super Area,Bangalore,Semi-Furnished,2,375.0,1.0,4
2,18000,1300,Super Area,Bangalore,Semi-Furnished,2,650.0,1.0,4
2,10000,300,Carpet Area,Bangalore,Semi-Furnished,2,150.0,1.0,4
2,19000,894,Carpet Area,Bangalore,Unfurnished,2,447.0,1.0,4
2,20000,1100,Super Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
2,9000,600,Super Area,Bangalore,Unfurnished,2,300.0,1.0,4
1,5000,500,Super Area,Bangalore,Furnished,1,500.0,1.0,2
2,27500,1000,Carpet Area,Bangalore,Furnished,2,500.0,1.0,4
2,16000,850,Super Area,Bangalore,Semi-Furnished,2,425.0,1.0,4
1,12000,400,Carpet Area,Bangalore,Semi-Furnished,1,400.0,1.0,2
2,20000,1200,Super Area,Bangalore,Semi-Furnished,2,600.0,1.0,4
1,7000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
1,11000,550,Super Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
1,13500,450,Carpet Area,Bangalore,Semi-Furnished,1,450.0,1.0,2
1,17000,430,Super Area,Bangalore,Semi-Furnished,1,430.0,1.0,2
2,16000,805,Carpet Area,Bangalore,Furnished,2,402.5,1.0,4
2,23500,950,Super Area,Bangalore,Semi-Furnished,2,475.0,1.0,4
2,8500,1000,Carpet Area,Bangalore,Unfurnished,2,500.0,1.0,4
3,30000,1350,Super Area,Bangalore,Furnished,3,450.0,1.0,6
2,15000,1000,Carpet Area,Bangalore,Unfurnished,2,500.0,1.0,4
3,15000,800,Super Area,Bangalore,Semi-Furnished,3,266.6666666666667,1.0,6
2,12500,800,Super Area,Bangalore,Furnished,2,400.0,1.0,4
3,24000,1550,Carpet Area,Bangalore,Semi-Furnished,3,516.6666666666666,1.0,6
2,32000,1000,Super Area,Bangalore,Unfurnished,2,500.0,1.0,4
2,19000,800,Super Area,Bangalore,Unfurnished,2,400.0,1.0,4
1,9000,700,Super Area,Bangalore,Furnished,1,700.0,1.0,2
2,5500,500,Super Area,Bangalore,Furnished,2,250.0,1.0,4
1,15000,500,Carpet Area,Bangalore,Semi-Furnished,1,500.0,1.0,2
2,14000,900,Super Area,Bangalore,Semi-Furnished,2,450.0,1.0,4
2,14000,1000,Super Area,Bangalore,Semi-Furnished,2,500.0,1.0,4
3,43000,1680,Carpet Area,Bangalore,Unfurnished,3,560.0,1.0,6
2,30000,1100,Carpet Area,Bangalore,Semi-Furnished,2,550.0,1.0,4
3,25000,1600,Carpet Area,Bangalore,Semi-Furnished,3,533.3333333333334,1.0,6
2,25500,1475,Carpet Area,Bangalore,Furnished,2,737.5,1.0,4
1,6000,300,Super Area,Bangalore,Unfurnished,1,300.0,1.0,2
1,5000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,10000,550,Super Area,Bangalore,Semi-Furnished,1,550.0,1.0,2
1,15000,400,Super Area,Bangalore,Unfurnished,1,400.0,1.0,2
1,5000,500,Super Area,Bangalore,Unfurnished,1,500.0,1.0,2
3,17000,1200,Super Area,Bangalore,Unfurnished,3,400.0,1.0,6
2,14000,1300,Super Area,Bangalore,Semi-Furnished,2,650.0,1.0,4
3,35000,2100,Super Area,Bangalore,Furnished,3,700.0,1.0,6
